,average_monthly_reads,Time Complexity Class,Time Complexity Bin,reads_bin
322,5269.175257731959,3.0,3,3
323,2468.639175257732,4.0,4,3
324,12457.59793814433,3.0,3,4
325,12457.59793814433,3.0,3,4
326,0.0,2.0,2,0
327,488.4845360824742,7.0,7,2
328,11304.40206185567,8.0,8,4
329,11304.40206185567,8.0,8,4
330,47464.0206185567,7.0,7,4
331,47464.0206185567,8.0,8,4
332,47464.0206185567,5.0,5,4
333,881.7113402061856,5.0,5,2
334,3044.340206185567,5.0,5,3
335,896.974358974359,5.0,5,2
336,0.0,5.0,5,0
337,26261.680412371134,5.0,5,4
338,26261.680412371134,5.0,5,4
339,0.0,5.0,5,0
340,26261.680412371134,5.0,5,4
341,4344.938144329897,6.0,6,3
342,4344.938144329897,5.02,5,3
343,4344.938144329897,6.0,6,3
344,4344.938144329897,5.0,5,3
345,4344.938144329897,5.0,5,3
346,4344.938144329897,5.0,5,3
347,4344.938144329897,5.0,5,3
348,4344.938144329897,5.0,5,3
349,4344.938144329897,5.0,5,3
350,4344.938144329897,5.0,5,3
351,4344.938144329897,5.02,5,3
352,4344.938144329897,6.0,6,3
353,4344.938144329897,5.0,5,3
354,4344.938144329897,5.0,5,3
355,0.0,5.0,5,0
356,5088.288659793814,5.0,5,3
357,5088.288659793814,4.0,4,3
358,13287.175257731958,6.0,6,4
359,5088.288659793814,6.0,6,3
360,5088.288659793814,6.0,6,3
361,5088.288659793814,5.0,5,3
362,5088.288659793814,6.0,6,3
363,5088.288659793814,5.0,5,3
364,5088.288659793814,6.0,6,3
365,1899.3711340206185,5.03,5,3
366,5088.288659793814,6.0,6,3
367,0.0,5.001,5,0
368,0.0,6.0,6,0
369,0.0,6.0,6,0
370,1516.142857142857,5.0,5,3
371,0.0,5.0,5,0
372,1516.142857142857,5.0,5,3
373,1516.142857142857,5.0,5,3
374,860.3814432989691,6.0,6,2
375,0.0,6.0,6,0
376,8761.60824742268,5.0,5,3
377,8761.60824742268,3.0,3,3
378,4707.319587628866,5.0,5,3
379,0.0,5.0,5,0
380,2505.4123711340208,5.0,5,3
381,0.0,5.0,5,0
382,0.0,5.0,5,0
383,5693.628865979382,6.0,6,3
384,1458.7525773195875,6.0,6,3
385,4707.319587628866,5.0,5,3
386,2606.103092783505,4.68,4,3
387,8761.60824742268,5.01,5,3
388,4255.546391752578,5.0,5,3
389,13582.835051546392,5.0,5,4
390,13582.835051546392,4.0,4,4
391,13582.835051546392,4.0,4,4
392,13582.835051546392,5.0,5,4
393,13582.835051546392,5.0,5,4
394,13582.835051546392,4.0,4,4
395,13582.835051546392,5.0,5,4
396,13582.835051546392,5.0,5,4
397,13582.835051546392,5.0,5,4
398,160.18556701030928,5.0,5,2
399,3872.350515463917,5.0,5,3
400,3872.350515463917,5.0,5,3
401,13582.835051546392,5.0,5,4
402,13582.835051546392,5.0,5,4
403,13582.835051546392,5.0,5,4
404,13582.835051546392,5.0,5,4
405,3872.350515463917,4.0,4,3
406,13582.835051546392,5.0,5,4
407,4101.577319587629,3.0,3,3
408,15774.40206185567,3.0,3,4
409,0.0,7.0,7,0
410,1503.1030927835052,6.0,6,3
411,1503.1030927835052,6.0,6,3
412,1503.1030927835052,5.0,5,3
413,0.0,6.0,6,0
414,15218.62886597938,2.0,2,4
415,0.0,5.0,5,0
416,4004.0,4.0,4,3
417,1484.8144329896909,5.0,5,3
418,2284.0309278350514,3.0,3,3
419,4052.020618556701,5.0,5,3
420,0.0,2.03,2,0
421,4052.020618556701,2.02,2,3
422,0.0,5.01,5,0
423,0.0,5.0,5,0
424,0.0,5.0,5,0
425,0.0,5.0,5,0
426,0.0,5.0,5,0
